id,name,location_id,updated_at
1,Storage,1,2025-06-05 22:12:32.42104
2,Production,1,2025-06-05 22:12:32.42104
3,Production,2,2025-06-05 22:12:32.42104
4,Storage,3,2025-06-05 22:12:32.42104
5,Lab,3,2025-06-05 22:12:32.42104
6,Production,4,2025-06-05 22:12:32.42104
7,Production,4,2025-06-05 22:12:32.42104
8,Storage,4,2025-06-05 22:12:32.42104
9,Production,4,2025-06-05 22:12:32.42104
10,Conference,5,2025-06-05 22:12:32.42104
11,Production,5,2025-06-05 22:12:32.42104
12,Conference,5,2025-06-05 22:12:32.42104
13,Production,5,2025-06-05 22:12:32.42104
14,Main Office,6,2025-06-05 22:12:32.42104
15,Production,6,2025-06-05 22:12:32.42104
16,Conference,7,2025-06-05 22:12:32.42104
17,Conference,7,2025-06-05 22:12:32.42104
18,Storage,8,2025-06-05 22:12:32.42104
19,Storage,9,2025-06-05 22:12:32.42104
20,Production,9,2025-06-05 22:12:32.42104
21,Production,10,2025-06-05 22:12:32.42104
22,Lab,10,2025-06-05 22:12:32.42104
23,Main Office,10,2025-06-05 22:12:32.42104
24,Storage,10,2025-06-05 22:12:32.42104
25,Conference,11,2025-06-05 22:12:32.42104
26,Main Office,11,2025-06-05 22:12:32.42104
27,Production,11,2025-06-05 22:12:32.42104
28,Storage,11,2025-06-05 22:12:32.42104
29,Production,12,2025-06-05 22:12:32.42104
30,Storage,12,2025-06-05 22:12:32.42104
31,Lab,12,2025-06-05 22:12:32.42104
32,Conference,12,2025-06-05 22:12:32.42104
33,Production,13,2025-06-05 22:12:32.42104
34,Storage,14,2025-06-05 22:12:32.42104
35,Lab,14,2025-06-05 22:12:32.42104
36,Storage,14,2025-06-05 22:12:32.42104
37,Lab,15,2025-06-05 22:12:32.42104
38,Main Office,15,2025-06-05 22:12:32.42104
39,Conference,15,2025-06-05 22:12:32.42104
40,Conference,16,2025-06-05 22:12:32.42104
41,Production,17,2025-06-05 22:12:32.42104
42,Main Office,17,2025-06-05 22:12:32.42104
43,Main Office,17,2025-06-05 22:12:32.42104
44,Lab,17,2025-06-05 22:12:32.42104
45,Main Office,18,2025-06-05 22:12:32.42104
46,Storage,18,2025-06-05 22:12:32.42104
47,Storage,19,2025-06-05 22:12:32.42104
48,Production,19,2025-06-05 22:12:32.42104
49,Storage,19,2025-06-05 22:12:32.42104
50,Lab,19,2025-06-05 22:12:32.42104
51,Main Office,20,2025-06-05 22:12:32.42104
52,Conference,20,2025-06-05 22:12:32.42104
53,Main Office,20,2025-06-05 22:12:32.42104
54,Conference,21,2025-06-05 22:12:32.42104
55,Conference,22,2025-06-05 22:12:32.42104
56,Main Office,22,2025-06-05 22:12:32.42104
57,Production,22,2025-06-05 22:12:32.42104
58,Conference,23,2025-06-05 22:12:32.42104
59,Main Office,23,2025-06-05 22:12:32.42104
60,Storage,23,2025-06-05 22:12:32.42104
61,Production,23,2025-06-05 22:12:32.42104
62,Production,24,2025-06-05 22:12:32.42104
63,Conference,25,2025-06-05 22:12:32.42104
64,Main Office,25,2025-06-05 22:12:32.42104
65,Production,25,2025-06-05 22:12:32.42104
66,Lab,26,2025-06-05 22:12:32.42104
67,Storage,27,2025-06-05 22:12:32.42104
68,Lab,27,2025-06-05 22:12:32.42104
69,Main Office,27,2025-06-05 22:12:32.42104
70,Conference,28,2025-06-05 22:12:32.42104
71,Storage,28,2025-06-05 22:12:32.42104
72,Conference,29,2025-06-05 22:12:32.42104
73,Main Office,29,2025-06-05 22:12:32.42104
74,Lab,29,2025-06-05 22:12:32.42104
75,Lab,29,2025-06-05 22:12:32.42104
76,Lab,30,2025-06-05 22:12:32.42104
77,Storage,30,2025-06-05 22:12:32.42104
78,Main Office,30,2025-06-05 22:12:32.42104
79,Production,31,2025-06-05 22:12:32.42104
80,Production,31,2025-06-05 22:12:32.42104
81,Lab,31,2025-06-05 22:12:32.42104
82,Lab,32,2025-06-05 22:12:32.42104
83,Conference,33,2025-06-05 22:12:32.42104
84,Production,34,2025-06-05 22:12:32.42104
85,Main Office,34,2025-06-05 22:12:32.42104
86,Conference,34,2025-06-05 22:12:32.42104
87,Production,35,2025-06-05 22:12:32.42104
88,Lab,35,2025-06-05 22:12:32.42104
89,Production,35,2025-06-05 22:12:32.42104
90,Storage,35,2025-06-05 22:12:32.42104
91,Conference,36,2025-06-05 22:12:32.42104
92,Production,36,2025-06-05 22:12:32.42104
93,Conference,37,2025-06-05 22:12:32.42104
94,Lab,37,2025-06-05 22:12:32.42104
95,Main Office,37,2025-06-05 22:12:32.42104
96,Production,37,2025-06-05 22:12:32.42104
97,Storage,38,2025-06-05 22:12:32.42104
98,Conference,38,2025-06-05 22:12:32.42104
99,Production,39,2025-06-05 22:12:32.42104
100,Lab,40,2025-06-05 22:12:32.42104
101,Lab,40,2025-06-05 22:12:32.42104
102,Lab,40,2025-06-05 22:12:32.42104
103,Storage,41,2025-06-05 22:12:32.42104
104,Lab,41,2025-06-05 22:12:32.42104
105,Lab,41,2025-06-05 22:12:32.42104
106,Main Office,41,2025-06-05 22:12:32.42104
107,Storage,42,2025-06-05 22:12:32.42104
108,Main Office,42,2025-06-05 22:12:32.42104
109,Main Office,42,2025-06-05 22:12:32.42104
110,Main Office,42,2025-06-05 22:12:32.42104
111,Production,43,2025-06-05 22:12:32.42104
112,Main Office,44,2025-06-05 22:12:32.42104
113,Storage,44,2025-06-05 22:12:32.42104
114,Lab,45,2025-06-05 22:12:32.42104
115,Production,45,2025-06-05 22:12:32.42104
116,Main Office,45,2025-06-05 22:12:32.42104
117,Main Office,46,2025-06-05 22:12:32.42104
118,Main Office,46,2025-06-05 22:12:32.42104
119,Storage,46,2025-06-05 22:12:32.42104
120,Main Office,46,2025-06-05 22:12:32.42104
121,Lab,47,2025-06-05 22:12:32.42104
122,Production,47,2025-06-05 22:12:32.42104
123,Conference,47,2025-06-05 22:12:32.42104
124,Storage,47,2025-06-05 22:12:32.42104
125,Storage,48,2025-06-05 22:12:32.42104
126,Storage,49,2025-06-05 22:12:32.42104
127,Lab,49,2025-06-05 22:12:32.42104
128,Lab,50,2025-06-05 22:12:32.42104
129,Storage,50,2025-06-05 22:12:32.42104
130,Storage,50,2025-06-05 22:12:32.42104
131,Lab,50,2025-06-05 22:12:32.42104
132,Main Office,51,2025-06-05 22:12:32.42104
133,Production,51,2025-06-05 22:12:32.42104
134,Conference,51,2025-06-05 22:12:32.42104
135,Lab,51,2025-06-05 22:12:32.42104
136,Production,52,2025-06-05 22:12:32.42104
137,Storage,52,2025-06-05 22:12:32.42104
138,Conference,52,2025-06-05 22:12:32.42104
139,Storage,53,2025-06-05 22:12:32.42104
140,Conference,53,2025-06-05 22:12:32.42104
141,Lab,53,2025-06-05 22:12:32.42104
142,Lab,53,2025-06-05 22:12:32.42104
143,Lab,54,2025-06-05 22:12:32.42104
144,Storage,54,2025-06-05 22:12:32.42104
145,Conference,55,2025-06-05 22:12:32.42104
146,Production,55,2025-06-05 22:12:32.42104
147,Conference,55,2025-06-05 22:12:32.42104
148,Production,55,2025-06-05 22:12:32.42104
